Code,distance_to_road
25994,754.0326466919622
50782,2594.402600520512
36215,119.9571470027689
49200,404.08147879594105
14422,747.0847065056971
49180,1717.0610626969922
831,158.45862993920218
18951,37.57223370449584
14426,310.3212541533641
13447,202.59520988033435
41314,1273.0671947848177
14428,293.25083143799435
18933,257.14051364561055
22999,444.5370439407992
44599,480.09713979106624
24415,373.33261922087314
53707,277.3940856712919
18934,113.4499928579933
50403,764.0512851302248
13467,840.2609145535315
36096,644.8295412180893
43649,132.5647052287991
47579,867.7583680136622
54742,1674.2937996177568
41293,6311.511902777308
36980,264.7145973641858
50345,514.9142827321135
18719,177.93195666067865
50269,305.32274179337344
49884,392.5691611203428
23682,330.8213458062708
23691,148.81176084874227
14290,290.2046198167277
23681,1167.6988671236334
47859,1440.7192123024895
50314,5776.787898670518
24511,650.402855812397
41299,2881.833000811816
48447,188.3623285624975
21871,388.51744818743913
1,775.2582664934911
18717,178.0590306942782
28543,643.1494939807238
41305,600.7058366233806
23690,610.8101017243005
44391,705.9745420637648
1708,1648.1824224871275
48669,1009.4450873710704
36981,452.21680464803876
47860,2330.2582885966385
24628,902.5146615021625
40188,1387.2183594178832
50320,3947.3255877598363
17761,527.9786341795686
50413,1434.433321226967
24633,812.7469557111178
19575,885.5705474086458
50373,2098.5830209792
39225,695.5643991754695
50371,1292.398611743676
40071,599.3768805411611
54190,463.8162588910264
12830,2993.2281049444787
41306,393.6613917200672
11133,3795.9763876077955
50401,1050.1076491052029
21918,327.50392496721076
32478,329.09596387757085
50151,484.75771709701064
25748,606.308989701134
50270,410.781053179925
45819,683.8559282225218
48660,978.3260082232187
48673,1280.6196125790107
54730,556.2727923163739
38974,3659.0630153994075
38955,666.8803501654284
47193,531.984179945357
48455,232.54036423086086
15325,290.7828168314588
48217,377.0357810067398
48597,448.04183744390207
15312,555.4906868941217
21926,453.82444879033636
48456,960.1146064604482
48663,269.06114957839407
48213,1737.9199328313814
47892,582.7245240307591
39364,7355.476713170884
21917,638.466638490411
39356,1951.046273570049
54732,522.3708934532875
54735,8577.708849046887
54731,1326.6348833153434
52566,7227.168896433179
54672,9928.146066808924
54738,86.8073646471344
53532,612.5949518722656
47228,1132.7856247004331
54736,3271.7479960117134
48451,2351.38840240599
45514,2358.0365736324593
46564,3235.1700443959407
3,1000.3327944867501
4,102.62063557201057
195,542.5049291722582
229,604.6162927644838
301,274.8728505645618
511,377.7137236620839
841,775.7999652082842
1744,376.26054344361995
4506,183.127529221115
4509,80.65378271142467
5042,1179.9011631303147
7219,1011.2779182900023
7512,206.06984160010387
8138,2481.1440665543996
12876,847.1913583773515
13437,123.12657105382823
13446,486.0519622550239
13456,327.9930311632137
13466,594.8332413579045
13736,577.9219116874216
14071,142.91857242924567
14179,3.9224753593229598
14208,571.6970708269095
14405,311.3747473706484
14407,96.2700699037255
14418,505.5985254972012
14720,163.59864009263387
15007,402.6287661027683
15013,285.0405080401391
15020,234.35677212081393
15022,118.529667548454
15034,669.4865562856443
15037,307.4729780968571
15038,102.3675715814333
15795,666.1281401380215
15902,170.48228409203395
15904,528.1307284657449
15907,414.6018081722957
15929,702.705500899365
16131,906.7887796649829
16202,225.7966406441383
16222,619.9433658801479
16722,74.81575159463036
16901,372.0415165489555
16939,447.23379086245546
17286,1762.8734523370167
19509,78.60924357775629
21433,523.3261049268011
21434,1796.2177082156286
21450,1000.3257834318248
21759,1182.5558935280114
24422,995.677380246109
24423,138.60447828672065
24434,4950.585300813013
24620,470.4577132484993
24621,549.5399717153631
24701,1835.6669831273673
24960,4704.257013528392
25044,1100.3831084369115
25248,1014.4591948964032
25519,2345.1406128159697
25789,214.1354025450238
25790,17.90352665116292
25972,134.84511621769704
26277,10496.95669497495
26477,1376.961847859519
26887,7474.315658980579
27286,11951.966871993867
27762,2332.839329871092
27936,335.99485753239003
28942,41474.90668053648
29073,31913.119740254784
29104,20470.4944660404
29250,12555.146597500167
29541,21478.227510261877
29568,19581.732146634786
29596,18519.161116944324
29614,18118.589335929162
29644,20068.74652353945
29917,10345.3227748076
29956,9237.076361538573
30380,5200.968187474472
30812,446.8935301767106
32805,819.0635688576722
34599,1232.0143834280113
34665,1302.608044568597
35422,431.54265510472874
36285,1018.2984733627798
36314,28.48225238904016
36343,1311.6249171848074
36741,874.4455827747067
36742,1090.0677066809185
36979,360.7312473284302
37529,146.36022500255163
37530,10.412351831472337
37534,82.57301256272052
38421,917.9674669893793
38502,653.9044095741483
38664,1381.3328185130908
38665,703.831144728429
39050,9111.213558025765
39191,7486.1058358292275
39297,7888.761216145321
39357,1013.6687947475134
39367,10509.016892531416
39621,3122.323029385395
40521,198.30420321770427
40534,534.910657125431
40535,33.03532373312049
40554,1222.9070990498685
40590,1138.7142571522181
41679,2683.260792515108
44746,145.40822663180148
44747,206.25399512077396
45434,6988.172576381063
45472,6975.857756255644
45686,1253.626375944091
45688,2648.07069023155
46051,25457.759077858886
46138,7040.504784329729
46212,4157.051541527769
46484,4713.115047403346
46493,5971.393372827826
46494,6056.457773410586
46496,5222.868877613083
46723,761.1658729262921
46725,2914.86598370709
46774,8170.942126038159
46775,7782.370011185231
46954,4931.164035558584
46959,529.5536801212613
47198,320.5212347190895
47225,1714.5644087118355
47252,1399.3711379740928
47491,2106.1196850017654
48216,1559.446867110078
48657,1555.8709563134223
49176,616.5764865488577
49186,1677.7166327532702
49294,93.38006889022982
49295,452.94584917598524
50335,4313.930432239986
50377,1113.4718360666423
50704,5366.705365224225
50710,7706.272609978077
50722,5751.466316480679
51754,2533.243218177469
51827,2201.299482052382
51931,468.22293701122913
51958,8842.327607614656
52064,310.2109357282791
52065,96.8613425710893
52115,1665.949362683077
52117,1161.8758752718154
52167,16493.284357893364
52177,19001.60271145473
52181,20910.426793833092
52268,23995.54730459256
52269,24656.54639605702
52380,24690.25215111636
52475,9325.11049085884
52487,1004.0014716505544
53145,10324.82410064213
53163,1343.23870142681
53300,11908.132482815916
53304,11275.653853918066
53315,11364.677294856489
53338,1910.0095844795353
53392,10318.810117286106
53401,12169.540957127325
53402,11875.386364585509
53545,247.97176743702232
53547,1857.8109396558111
53548,147.67710994591113
53549,1138.5605413201522
53683,5804.604616020154
53717,2836.284879525464
53730,1247.5104214141763
53753,6893.517125747073
54025,5392.450121326519
54038,4364.4289751142505
54039,5463.4829522706405
54088,4617.901572291307
54132,253.26430499088312
54177,13770.715135732693
54655,5492.839820530881
54720,3560.387255552983
L380.1,1484.9808382203166
L380.10,436.31142168860504
L380.11,410.10304382797887
L380.12,731.9929090811594
L380.13,636.8323860236169
L380.14,2529.3630724536174
L380.2,229.7926306814235
L380.3,72.28852061661892
L380.4,117.32172021920644
L380.5,1817.2795798212244
L380.6,1887.1816256084921
L380.7,346.79138611325766
L380.8,136.2264320671025
L380.9,3056.6060234243714
