ID,Lake,Region,Latitude,Longitude,Monitored TLI3,Monitored Trophic State,Single TLI3,Singe TLI3 Trophic State,SBTI,Confidence Interval,SBTI Trophic State
11133,Lake Rotorua,Bay of Plenty,-38.0390247,176.3526958,4.28,Eutrophic,,,4.16,0.16,Eutrophic
14428,Lake Rotomanuka,Waikato,-37.9258209,175.31575,4.9,Eutrophic,4.94,Eutrophic,4.85,0.20,Eutrophic
18717,Lake Ngakapua,Northland,-35.15583959,173.3499011,4.12,Eutrophic,3.97,Mesotrophic,3.90,0.25,Mesotrophic
18719,Lake Rotokawau (Aupouri),Northland,-35.01815,173.20565,4.58,Eutrophic,,,3.94,0.29,Mesotrophic
21871,Lake Tomarata,Auckland,-36.192437,174.648753,4.31,Eutrophic,4.67,Eutrophic,4.35,0.16,Eutrophic
23682,Lake Heather,Northland,-35.0492848,173.1949957,4.99,Eutrophic,5.07,Supertrophic,4.56,0.25,Eutrophic
23690,Lake Carrot,Northland,-35.0214519,173.1889745,4.38,Eutrophic,,,4.15,0.23,Eutrophic
23691,Lake Ngatu,Northland,-35.0355278,173.1982987,4.03,Eutrophic,,,3.88,0.58,Mesotrophic
24511,Lake Waihopo,Northland,-34.75584908,173.0427591,4.12,Eutrophic,,,4.72,0.17,Eutrophic
28543,Lake George,Southland,-46.356284,167.860554,4.46,Eutrophic,5.38,Supertrophic,3.53,0.15,Mesotrophic
32478,Lake Opouahi,Hawke's Bay,-39.14663,176.83618,4.39,Eutrophic,,,4.86,0.21,Eutrophic
36981,Lake Tutira,Hawke's Bay,-39.22501,176.8982,4.51,Eutrophic,,,4.88,0.25,Eutrophic
40188,Lake Rotoehu,Bay of Plenty,-38.0151729,176.5319335,4.93,Eutrophic,,,4.61,0.28,Eutrophic
41299,Lake Emma,Canterbury,-43.638858,171.106462,4.52,Eutrophic,,,4.93,0.14,Eutrophic
43649,Lake Vincent,Southland,-46.590107,168.821629,4.3,Eutrophic,3.89,Mesotrophic,3.69,0.17,Mesotrophic
44391,Lake Waihola,Otago,-46.02035028,170.0780362,4.77,Eutrophic,5.54,Supertrophic,4.40,0.14,Eutrophic
45819,Lake Wainamu,Auckland,-36.890121,174.46833,4.09,Eutrophic,4.39,Eutrophic,5.09,0.15,Supertrophic
47860,Lake Emily,Canterbury,-43.550102,171.226395,4.1,Eutrophic,,,4.19,0.18,Eutrophic
48447,Lake Georgina,Canterbury,-43.318146,171.569737,4.03,Eutrophic,,,4.09,0.21,Eutrophic
50151,Lake Pupuke,Auckland,-36.7802378,174.7654825,4.07,Eutrophic,,,5.30,0.17,Supertrophic
50314,Lake Mokeno,Northland,-36.35158,174.06073,4.6,Eutrophic,,,4.70,0.23,Eutrophic
50320,Lake Karaka,Northland,-36.31386667,174.0384667,4.97,Eutrophic,,,4.33,0.19,Eutrophic
50371,Lake Kahuparere,Northland,-36.36910358,174.1573594,4.02,Eutrophic,4.83,Eutrophic,4.31,0.17,Eutrophic
50373,Lake Kanono,Northland,-36.36485,174.1484167,4.38,Eutrophic,3.70,Mesotrophic,5.15,0.19,Supertrophic
54190,Lake Hayes,Otago,-44.97495332,168.8110583,4.65,Eutrophic,5.04,Supertrophic,4.89,0.27,Eutrophic
54730,Lake Rotoiti,Bay of Plenty,-38.0390247,176.3526958,4.12,Eutrophic,,,4.02,0.15,Eutrophic
831,Lake Waitawa,Wellington,-40.72473,175.17087,6.09,Hypertrophic,7.34,Hypertrophic,6.13,0.27,Hypertrophic
25994,Lake Rotorua,Canterbury,-42.404092,173.581394,7.2,Hypertrophic,,,6.26,0.32,Hypertrophic
36215,Lake Runanga,Hawke's Bay,-39.58353,176.71019,7.04,Hypertrophic,,,6.38,0.34,Hypertrophic
47579,Lake Forsyth,Canterbury,-43.8025,172.3794,6.05,Hypertrophic,,,6.49,0.41,Hypertrophic
49180,Lake Whangape,Waikato,-37.4614141,175.0653926,6.58,Hypertrophic,6.30,Hypertrophic,6.54,0.41,Hypertrophic
49200,Lake Hakanoa,Waikato,-37.552222,175.168228,6.75,Hypertrophic,6.33,Hypertrophic,6.45,0.37,Hypertrophic
50782,Lake Waikare,Waikato,-37.439999,175.19626,6.97,Hypertrophic,6.57,Hypertrophic,6.51,0.40,Hypertrophic
12830,Lake Harihari,Waikato,-38.2115581,174.7215154,3.86,Mesotrophic,3.66,Mesotrophic,2.97,0.22,Oligotrophic
15325,Lake Okareka,Bay of Plenty,-38.1719011,176.3585567,3.39,Mesotrophic,,,4.16,0.15,Eutrophic
17761,Lake Wainui,Northland,-36.10130034,173.8816115,3.95,Mesotrophic,4.59,Eutrophic,4.33,0.16,Eutrophic
19575,Lake Waipara,Northland,-34.58615,172.8536833,3.69,Mesotrophic,,,3.21,0.25,Mesotrophic
23681,Lake Rotoroa,Northland,-35.05901108,173.1958266,3.95,Mesotrophic,3.99,Mesotrophic,3.94,0.15,Mesotrophic
24628,Lake Morehurehu,Northland,-34.64216655,172.9973286,3.72,Mesotrophic,,,3.21,0.18,Mesotrophic
25748,Lake Mangarakau,Tasman,-40.64985088,172.4836772,3.53,Mesotrophic,3.47,Mesotrophic,3.57,0.23,Mesotrophic
38955,Lake Poerua,West Coast,-42.704272,171.49495,3.67,Mesotrophic,4.22,Eutrophic,2.31,0.27,Oligotrophic
38974,Lake Brunner,West Coast,-42.608367,171.450018,3.36,Mesotrophic,2.33,Oligotrophic,3.37,0.21,Mesotrophic
39225,Lake Haupiri,West Coast,-42.567542,171.692006,3.52,Mesotrophic,4.14,Eutrophic,3.54,0.25,Mesotrophic
40071,Lake Rerewhakaaitu,Bay of Plenty,-38.2920385,176.5000859,3.77,Mesotrophic,,,3.65,0.22,Mesotrophic
41305,Lake Clearwater,Canterbury,-43.6027,171.044722,3.96,Mesotrophic,,,3.56,0.18,Mesotrophic
41306,Lake Camp,Canterbury,-43.615189,171.05698,3.31,Mesotrophic,,,3.83,0.24,Mesotrophic
47193,Lake Alexandrina,Canterbury,-43.93682,170.45454,3.04,Mesotrophic,3.60,Mesotrophic,3.80,0.22,Mesotrophic
47859,Maori Lakes A,Canterbury,-43.57494,171.18282,3.89,Mesotrophic,,,3.33,0.20,Mesotrophic
47892,Lake Heron,Canterbury,-43.48787,171.16637,3.19,Mesotrophic,,,3.62,0.20,Mesotrophic
48213,Lake Selfe,Canterbury,-43.23944,171.5183,3.04,Mesotrophic,,,3.33,0.23,Mesotrophic
48217,Lake Evelyn,Canterbury,-43.234831,171.5383,3.2,Mesotrophic,,,4.06,0.13,Eutrophic
48455,Lake Ida,Canterbury,-43.254398,171.538842,3.15,Mesotrophic,,,3.64,0.22,Mesotrophic
48597,Lake Lyndon,Canterbury,-43.306888,171.69318,3.11,Mesotrophic,,,3.08,0.26,Mesotrophic
48660,Lake Pearson,Canterbury,-43.10279,171.778328,3.83,Mesotrophic,,,3.22,0.28,Mesotrophic
48663,Lake Grasmere,Canterbury,-43.062222,171.7744,3.36,Mesotrophic,,,3.23,0.22,Mesotrophic
48669,Lake Hawdon,Canterbury,-43.104239,171.850706,3.47,Mesotrophic,,,3.91,0.15,Mesotrophic
48673,Lake Sarah,Canterbury,-43.0487,171.776777,3.2,Mesotrophic,,,3.63,0.23,Mesotrophic
50270,Lake Ototoa,Auckland,-36.51214,174.238849,3.45,Mesotrophic,3.75,Mesotrophic,4.34,0.15,Eutrophic
50401,Lake Humuhumu,Northland,-36.32808333,174.1294667,3.73,Mesotrophic,,,3.73,0.17,Mesotrophic
50413,Lake Rotokawau,Northland,-36.35028333,174.1465167,3.53,Mesotrophic,,,3.12,0.16,Mesotrophic
54732,Lake Tarawera,Bay of Plenty,-38.2066553,176.3922828,3.06,Mesotrophic,,,3.52,0.21,Mesotrophic
21917,Lake Taharoa,Northland,-35.80788333,173.6462167,1.84,Microtrophic,,,2.07,0.29,Oligotrophic
45514,Lake Ohau,Canterbury,-44.230632,169.850807,1.65,Microtrophic,3.46,Mesotrophic,1.73,0.41,Microtrophic
46564,Lake Pukaki,Canterbury,-44.07395,170.165013,1.53,Microtrophic,2.89,Oligotrophic,1.72,0.41,Microtrophic
47228,Lake Tekapo,Canterbury,-43.993266,170.486069,1.4,Microtrophic,2.27,Oligotrophic,1.72,0.41,Microtrophic
53532,Lake Wakatipu,Otago,-45.03188019,168.6959478,1.47,Microtrophic,,,1.95,0.35,Microtrophic
54672,Lake Wanaka,Otago,-44.52587905,169.112152,1.78,Microtrophic,1.57,Microtrophic,1.79,0.38,Microtrophic
54735,Lake Manapouri,Southland,-45.51820344,167.4926202,1.5,Microtrophic,2.58,Oligotrophic,1.76,0.39,Microtrophic
15312,Lake Tikitapu,Bay of Plenty,-38.1923753,176.3310214,2.75,Oligotrophic,,,2.80,0.42,Oligotrophic
21918,Lake Kai-iwi,Northland,-35.81565,173.6538167,2.9,Oligotrophic,,,2.51,0.34,Oligotrophic
21926,Lake Waikare,Northland,-35.7986,173.6303,2.38,Oligotrophic,2.46,Oligotrophic,2.66,0.43,Oligotrophic
24633,Lake Te Kahika,Northland,-34.62373575,173.0010867,2.65,Oligotrophic,,,2.68,0.48,Oligotrophic
39356,Lake Taylor,Canterbury,-42.8576532,172.8305987,2.56,Oligotrophic,2.63,Oligotrophic,2.79,0.23,Oligotrophic
39364,Lake Katrine,Canterbury,-42.8576484,172.8306034,2.73,Oligotrophic,3.52,Mesotrophic,2.72,0.28,Oligotrophic
48456,Lake Catherine,Canterbury,-43.221,171.55963,2.52,Oligotrophic,2.92,Oligotrophic,3.35,0.26,Mesotrophic
54731,Lake Okataina,Bay of Plenty,-38.1102249,176.4215715,2.94,Oligotrophic,,,3.42,0.19,Mesotrophic
54738,Lake Sumner,Canterbury,-42.8575756,172.8305065,2.11,Oligotrophic,,,3.02,0.27,Mesotrophic
13447,Lake Dudding,Manawatu Wanganui,-40.1003,175.279,5.73,Supertrophic,3.68,Mesotrophic,5.24,0.25,Supertrophic
13467,Lake Waiparera,Northland,-34.94642884,173.1832282,5.02,Supertrophic,4.90,Eutrophic,4.67,0.18,Eutrophic
14290,Lake Okaro,Bay of Plenty,-38.2989411,176.3945234,5.13,Supertrophic,,,5.08,0.25,Supertrophic
14426,Lake Serpentine North,Waikato,-37.94239999,175.3189342,5.27,Supertrophic,4.38,Eutrophic,3.88,0.21,Mesotrophic
18933,Lake Pauri,Manawatu Wanganui,-39.977567,175.0976,5.41,Supertrophic,4.34,Eutrophic,5.44,0.22,Supertrophic
18934,Lake Wiritoa,Manawatu Wanganui,-39.974633,175.089083,5.27,Supertrophic,4.08,Eutrophic,5.42,0.27,Supertrophic
18951,Lake Westmere,Manawatu Wanganui,-39.8953,174.9992,5.94,Supertrophic,5.87,Supertrophic,5.44,0.28,Supertrophic
22999,Spectacle Lake,Auckland,-36.180537,174.631217,5.98,Supertrophic,6.68,Hypertrophic,5.79,0.23,Supertrophic
24415,Lake Waiporohita,Northland,-34.90133333,173.3482167,5.14,Supertrophic,,,4.81,0.23,Eutrophic
36096,Lake Oingo,Hawke's Bay,-39.56655206,176.751942,5.1,Supertrophic,,,5.75,0.21,Supertrophic
36980,Lake Waikopiro,Hawke's Bay,-39.23455,176.8959,5.28,Supertrophic,,,5.39,0.27,Supertrophic
41293,Lake Denny,Canterbury,-43.670134,171.122638,5.52,Supertrophic,,,4.24,0.20,Eutrophic
41314,Lake Waahi,Waikato,-37.556942,175.124364,5.58,Supertrophic,6.07,Hypertrophic,6.23,0.31,Hypertrophic
44599,Lake Tuakitoto,Otago,-46.22815363,169.8248794,5.38,Supertrophic,5.41,Supertrophic,5.06,0.26,Supertrophic
49884,Lake Kereta,Auckland,-36.593075,174.280902,5.22,Supertrophic,4.54,Eutrophic,5.40,0.20,Supertrophic
50269,Lake Kuwakatai,Auckland,-36.5302,174.23238,5.34,Supertrophic,4.91,Eutrophic,5.22,0.22,Supertrophic
50345,Lake Rototuna,Northland,-36.25107,174.04008,5.19,Supertrophic,5.35,Supertrophic,4.98,0.17,Eutrophic
50403,Lake Rotootuauturu,Northland,-36.33137007,174.1397831,5.39,Supertrophic,,,4.62,0.23,Eutrophic
53707,Lake Johnson,Otago,-45.00771483,168.7323606,5.35,Supertrophic,4.79,Eutrophic,5.13,0.29,Supertrophic
3,Lake Kohangapiripiri,Wellington,-41.362207,174.856558,,,4.59,Eutrophic,3.78,0.17,Mesotrophic
4,Lake Kohangatera,Wellington,-41.368069,174.86601,,,5.95,Supertrophic,4.56,0.19,Eutrophic
195,Lake Nganoke,Wellington,-41.3555,175.18696,,,6.25,Hypertrophic,5.16,0.20,Supertrophic
301,Bartons Lagoon,Wellington,-41.16978303,175.3135285,,,5.60,Supertrophic,3.96,0.15,Mesotrophic
511,Matthews Lagoon,Wellington,-41.260467,175.268883,,,7.53,Hypertrophic,5.47,0.19,Supertrophic
841,Lake Waiorongomai,Wellington,-40.71183,175.14255,,,5.82,Supertrophic,5.86,0.22,Supertrophic
4506,Voss Lagoon,Manawatu Wanganui,-40.416283,175.4932,,,7.91,Hypertrophic,5.42,0.25,Supertrophic
4509,Karere Lagoon,Manawatu Wanganui,-40.403133,175.528067,,,5.93,Supertrophic,5.35,0.31,Supertrophic
5042,Pukepuke Lagoon,Manawatu Wanganui,-40.340858,175.26483,,,5.25,Supertrophic,5.85,0.24,Supertrophic
7512,Lake Rotokare,Taranaki,-39.4527,174.4106,,,5.42,Supertrophic,5.05,0.18,Supertrophic
8138,Lake Mckay,Otago,-44.8518862,169.2126718,,,3.15,Mesotrophic,2.71,0.21,Oligotrophic
12876,Lake Taharoa,Waikato,-38.1658535,174.7388147,,,4.23,Eutrophic,3.24,0.21,Mesotrophic
13437,Lake William,Manawatu Wanganui,-40.122512,175.310019,,,5.45,Supertrophic,5.35,0.25,Supertrophic
13446,Lake Heaton,Manawatu Wanganui,-40.10708351,175.2874406,,,5.64,Supertrophic,5.56,0.21,Supertrophic
13466,Lake Katawich,Northland,-34.943127,173.164791,,,6.22,Hypertrophic,5.03,0.15,Supertrophic
13736,Lake Rotokotuku,Waikato,-38.3671031,175.2140534,,,4.78,Eutrophic,2.99,0.36,Oligotrophic
14071,Lake Tutaeinanga,Waikato,-38.3329351,176.3223738,,,5.59,Supertrophic,5.09,0.19,Supertrophic
14179,Lake Ngapouri,Waikato,-38.3386535,176.3359105,,,4.61,Eutrophic,4.98,0.21,Eutrophic
14208,Lake Ngahewa,Waikato,-38.3152339,176.3737858,,,5.31,Supertrophic,4.77,0.15,Eutrophic
14407,Lake Ngarotoiti,Waikato,-37.943362,175.2963695,,,6.44,Hypertrophic,5.94,0.25,Supertrophic
14418,Lake Mangahia,Waikato,-37.8796137,175.2281991,,,6.77,Hypertrophic,5.15,0.16,Supertrophic
14720,Lake Te Ku Utu,Waikato,-37.8891555,175.4717045,,,5.77,Supertrophic,5.32,0.20,Supertrophic
15007,Lake Koromatua,Waikato,-37.837734,175.223583,,,6.97,Hypertrophic,5.17,0.15,Supertrophic
15013,Lake Rotokauri ,Waikato,-37.7644875,175.1980409,,,5.30,Supertrophic,5.53,0.20,Supertrophic
15022,Lake Rotoroa,Waikato,-37.7994589,175.2762498,,,4.71,Eutrophic,5.43,0.18,Supertrophic
15034,Lake Areare,Waikato,-37.667613,175.199878,,,5.74,Supertrophic,4.73,0.15,Eutrophic
